,District,Type,Building Classification,Total Units,Gross Income per SqFt,Expense per SqFt,Net Operating Income,Market Value per SqFt
381,Brooklyn,Cooperative,D4-ELEVATOR,54,10.28,5.5,229440,29.75
382,Brooklyn,Cooperative,D4-ELEVATOR,88,12.84,6.64,487841,41.39
383,Brooklyn,Cooperative,D4-ELEVATOR,60,9.14,3.66,295633,32.59
384,Brooklyn,Cooperative,D4-ELEVATOR,100,10.0,3.45,788406,40.87
385,Brooklyn,Cooperative,C6-WALK-UP,32,11.09,2.78,282685,51.29
386,Brooklyn,Cooperative,C6-WALK-UP,16,12.52,4.87,106553,48.35
387,Brooklyn,Cooperative,C6-WALK-UP,54,10.94,5.76,242061,25.42
388,Brooklyn,Cooperative,C6-WALK-UP,134,12.08,6.52,632172,35.37
389,Brooklyn,Cooperative,D4-ELEVATOR,124,10.54,5.74,665280,29.81
390,Brooklyn,Cooperative,D4-ELEVATOR,131,11.81,4.5,901111,46.69
391,Brooklyn,Cooperative,D4-ELEVATOR,63,11.66,4.89,454552,43.36
392,Brooklyn,Cooperative,D4-ELEVATOR,132,11.13,5.75,775043,33.2
393,Brooklyn,Cooperative,D4-ELEVATOR,168,14.09,7.04,1268965,48.92
394,Brooklyn,Cooperative,D4-ELEVATOR,48,10.58,5.91,299583,28.97
395,Brooklyn,Cooperative,D4-ELEVATOR,42,11.91,6.6,280368,33.88
396,Brooklyn,Cooperative,D4-ELEVATOR,65,10.01,5.66,307980,27.16
397,Brooklyn,Cooperative,D4-ELEVATOR,84,10.01,5.66,415860,27.15
398,Brooklyn,Cooperative,D4-ELEVATOR,176,13.47,7.04,1119348,42.58
399,Brooklyn,Cooperative,D4-ELEVATOR,72,11.9,5.87,434160,38.47
400,Brooklyn,Cooperative,D4-ELEVATOR,91,12.43,5.97,635774,40.87
401,Brooklyn,Cooperative,D4-ELEVATOR,65,12.42,6.53,514338,37.26
402,Brooklyn,Cooperative,D4-ELEVATOR,95,10.34,4.31,628064,37.59
403,Brooklyn,Cooperative,D4-ELEVATOR,83,10.55,4.21,481840,39.37
404,Brooklyn,Cooperative,D4-ELEVATOR,113,10.42,5.14,731808,32.84
405,Brooklyn,Cooperative,D4-ELEVATOR,82,10.55,4.21,754460,39.37
406,Brooklyn,Cooperative,D4-ELEVATOR,66,8.95,4.56,329214,26.17
407,Brooklyn,Cooperative,D4-ELEVATOR,59,12.28,5.86,323568,40.71
408,Brooklyn,Cooperative,D4-ELEVATOR,129,9.97,4.38,835146,32.1
409,Brooklyn,Cooperative,D4-ELEVATOR,60,11.73,6.45,353660,33.75
410,Brooklyn,Cooperative,D4-ELEVATOR,52,10.86,3.27,455673,46.99
411,Brooklyn,Cooperative,D4-ELEVATOR,59,10.73,5.87,312596,30.12
412,Brooklyn,Cooperative,D4-ELEVATOR,54,12.26,5.5,360531,35.89
413,Brooklyn,Cooperative,D4-ELEVATOR,54,12.55,6.51,343628,40.46
414,Brooklyn,Cooperative,D4-ELEVATOR,70,10.32,5.23,309472,31.68
415,Brooklyn,Cooperative,D4-ELEVATOR,36,13.35,6.01,277546,48.73
416,Brooklyn,Cooperative,D4-ELEVATOR,79,11.75,6.75,439097,29.92
417,Brooklyn,Cooperative,D4-ELEVATOR,65,11.53,6.52,330660,32.14
418,Brooklyn,Cooperative,D4-ELEVATOR,100,8.9,4.43,536400,26.66
419,Brooklyn,Cooperative,D4-ELEVATOR,75,12.59,5.61,321080,46.74
420,Brooklyn,Cooperative,D4-ELEVATOR,84,11.83,5.89,406890,37.93
421,Brooklyn,Cooperative,D4-ELEVATOR,64,11.88,6.58,304750,33.83
422,Brooklyn,Cooperative,D4-ELEVATOR,48,9.7,4.72,258960,29.5
423,Brooklyn,Cooperative,D4-ELEVATOR,105,8.98,4.89,429450,24.38
424,Brooklyn,Cooperative,D4-ELEVATOR,124,8.51,4.55,475200,23.68
425,Brooklyn,Cooperative,D4-ELEVATOR,72,10.46,5.59,331160,30.26
426,Brooklyn,Cooperative,D4-ELEVATOR,48,10.04,4.54,294250,34.32
427,Brooklyn,Cooperative,D4-ELEVATOR,87,11.94,6.45,494100,34.99
428,Brooklyn,Cooperative,D4-ELEVATOR,79,9.91,4.67,427395,30.99
429,Brooklyn,Cooperative,D4-ELEVATOR,108,11.62,4.73,668467,44.15
430,Brooklyn,Cooperative,D4-ELEVATOR,108,10.6,3.87,775969,41.78
431,Brooklyn,Cooperative,D4-ELEVATOR,59,15.3,6.35,383418,61.46
432,Brooklyn,Cooperative,C6-WALK-UP,11,14.45,6.69,62577,48.49
433,Brooklyn,Cooperative,D4-ELEVATOR,364,16.09,7.37,3678096,59.43
434,Brooklyn,Cooperative,D4-ELEVATOR,161,15.53,6.06,1787633,64.87
435,Brooklyn,Cooperative,D4-ELEVATOR,120,18.88,9.25,1092446,50.51
436,Brooklyn,Cooperative,D4-ELEVATOR,62,10.42,5.14,313167,32.84
437,Brooklyn,Cooperative,D4-ELEVATOR,66,10.51,4.18,505893,39.31
438,Brooklyn,Cooperative,D4-ELEVATOR,78,13.6,5.97,488930,50.47
439,Brooklyn,Cooperative,D4-ELEVATOR,100,14.02,5.94,736896,53.15
440,Brooklyn,Cooperative,D4-ELEVATOR,60,13.6,5.97,511210,50.46
441,Brooklyn,Cooperative,D4-ELEVATOR,63,13.81,6.38,392304,49.0
442,Brooklyn,Cooperative,D4-ELEVATOR,180,16.1,6.12,1766460,68.02
443,Brooklyn,Cooperative,D4-ELEVATOR,56,15.19,6.05,473452,62.82
444,Brooklyn,Cooperative,D4-ELEVATOR,68,16.1,6.33,657247,66.58
445,Brooklyn,Cooperative,D4-ELEVATOR,190,16.1,6.29,1975342,66.86
446,Brooklyn,Cooperative,D4-ELEVATOR,1038,18.55,12.94,7068252,40.34
447,Brooklyn,Cooperative,D4-ELEVATOR,1557,18.55,12.94,10098000,40.34
448,Brooklyn,Cooperative,D4-ELEVATOR,68,14.0,7.74,373722,41.19
449,Brooklyn,Cooperative,D4-ELEVATOR,174,13.87,5.13,1311000,57.6
450,Brooklyn,Cooperative,D4-ELEVATOR,1760,18.55,12.94,9742887,40.34
451,Brooklyn,Cooperative,D4-ELEVATOR,572,15.51,5.57,6200572,68.1
452,Brooklyn,Cooperative,D4-ELEVATOR,572,15.51,5.57,6200632,68.1
453,Brooklyn,Cooperative,D4-ELEVATOR,528,15.51,5.57,4881037,68.1
454,Brooklyn,Cooperative,D4-ELEVATOR,60,12.11,6.68,303291,30.75
455,Brooklyn,Cooperative,D4-ELEVATOR,89,12.03,6.27,456955,36.66
456,Brooklyn,Cooperative,D4-ELEVATOR,100,10.68,4.88,522000,35.96
457,Brooklyn,Cooperative,D4-ELEVATOR,66,9.72,4.98,398160,28.08
458,Brooklyn,Cooperative,D4-ELEVATOR,162,15.77,7.1,1454479,59.28
459,Brooklyn,Cooperative,D4-ELEVATOR,144,13.43,5.65,1200166,51.55
460,Brooklyn,Cooperative,D4-ELEVATOR,113,10.55,3.63,779884,42.97
461,Brooklyn,Cooperative,D4-ELEVATOR,78,9.83,4.85,319327,29.48
462,Brooklyn,Cooperative,D4-ELEVATOR,50,13.92,6.73,362829,47.36
463,Brooklyn,Cooperative,D4-ELEVATOR,63,10.51,4.35,291965,38.27
464,Brooklyn,Cooperative,D4-ELEVATOR,85,11.01,4.75,613480,38.68
465,Brooklyn,Cooperative,D4-ELEVATOR,324,12.86,6.46,2198937,42.71
466,Brooklyn,Cooperative,D4-ELEVATOR,114,10.34,5.28,452943,31.06
467,Brooklyn,Cooperative,D4-ELEVATOR,71,14.02,5.94,571337,53.15
468,Brooklyn,Cooperative,D4-ELEVATOR,66,14.02,5.94,477892,53.16
469,Brooklyn,Cooperative,D4-ELEVATOR,55,12.28,7.27,220941,31.77
470,Brooklyn,Cooperative,D4-ELEVATOR,169,14.06,7.03,1476497,46.22
471,Brooklyn,Cooperative,D4-ELEVATOR,240,13.43,5.65,1884005,51.55
472,Brooklyn,Cooperative,D4-ELEVATOR,115,14.18,3.9,1190856,71.29
473,Brooklyn,Cooperative,D4-ELEVATOR,250,14.02,5.94,1660068,53.15
474,Brooklyn,Cooperative,D4-ELEVATOR,63,11.01,4.75,327774,38.67
475,Brooklyn,Cooperative,D4-ELEVATOR,75,13.43,6.98,554390,37.73
476,Brooklyn,Cooperative,D4-ELEVATOR,540,15.18,8.27,4026723,47.47
477,Brooklyn,Cooperative,D4-ELEVATOR,360,13.31,7.84,2231760,36.31
478,Brooklyn,Cooperative,D4-ELEVATOR,140,11.25,5.02,771187,40.13
479,Brooklyn,Cooperative,D4-ELEVATOR,192,16.55,6.37,1917648,73.69
480,Brooklyn,Cooperative,D4-ELEVATOR,157,12.67,5.36,996323,48.92
481,Brooklyn,Cooperative,C6-WALK-UP,16,16.15,6.41,118361,66.33
482,Brooklyn,Cooperative,D4-ELEVATOR,246,13.43,6.72,1484015,44.49
483,Brooklyn,Cooperative,D4-ELEVATOR,54,13.71,8.33,237845,35.54
484,Brooklyn,Cooperative,D4-ELEVATOR,63,12.71,6.19,281312,43.62
485,Brooklyn,Cooperative,D4-ELEVATOR,90,13.8,5.89,652100,52.17
486,Brooklyn,Cooperative,D4-ELEVATOR,192,11.46,4.88,1240593,42.24
487,Brooklyn,Cooperative,D4-ELEVATOR,644,11.38,6.22,3555240,32.41
488,Brooklyn,Cooperative,D4-ELEVATOR,360,11.38,6.6,1411056,30.74
489,Brooklyn,Cooperative,D4-ELEVATOR,189,9.41,4.47,1206289,29.34
490,Brooklyn,Cooperative,D4-ELEVATOR,92,14.13,6.46,543680,53.2
491,Brooklyn,Cooperative,D4-ELEVATOR,84,9.36,3.7,353750,33.63
492,Brooklyn,Cooperative,D4-ELEVATOR,108,12.8,5.12,654067,51.29
493,Brooklyn,Cooperative,D4-ELEVATOR,84,10.87,5.21,370730,35.04
494,Brooklyn,Cooperative,D4-ELEVATOR,85,13.24,5.65,803781,50.42
495,Brooklyn,Cooperative,C6-WALK-UP,22,15.48,7.81,142477,52.54
496,Brooklyn,Cooperative,C6-WALK-UP,30,11.99,5.45,230140,41.65
497,Brooklyn,Cooperative,C6-WALK-UP,31,11.99,5.45,186259,41.64
498,Brooklyn,Cooperative,D4-ELEVATOR,448,13.08,4.69,3673646,55.86
499,Brooklyn,Cooperative,D4-ELEVATOR,70,17.92,8.96,748339,64.57
500,Brooklyn,Cooperative,D4-ELEVATOR,195,16.1,7.73,1548450,50.51
501,Brooklyn,Cooperative,D4-ELEVATOR,70,17.97,8.99,741927,64.72
502,Brooklyn,Cooperative,D4-ELEVATOR,72,12.66,3.82,342797,59.16
503,Brooklyn,Cooperative,D4-ELEVATOR,96,13.56,5.47,662571,53.53
504,Brooklyn,Cooperative,D4-ELEVATOR,148,14.78,6.74,1158194,55.46
505,Brooklyn,Cooperative,C6-WALK-UP,48,14.64,6.45,224815,56.54
506,Brooklyn,Cooperative,D4-ELEVATOR,105,14.78,6.74,878434,55.46
507,Brooklyn,Cooperative,D4-ELEVATOR,240,15.99,7.85,2361902,55.53
508,Brooklyn,Cooperative,D4-ELEVATOR,157,15.01,6.36,1254250,59.53
509,Brooklyn,Cooperative,D4-ELEVATOR,153,14.78,6.74,1231664,55.46
510,Brooklyn,Cooperative,D4-ELEVATOR,100,14.57,6.01,923761,59.15
511,Brooklyn,Cooperative,D4-ELEVATOR,264,14.57,6.01,2234776,59.14
512,Brooklyn,Cooperative,C8-WALK-UP,28,11.72,5.35,177188,40.73
513,Brooklyn,Cooperative,D4-ELEVATOR,162,14.57,6.01,1494405,59.14
514,Bronx,Cooperative,C6-WALK-UP,13,13.53,7.9,60742,32.63
515,Bronx,Cooperative,C6-WALK-UP,11,9.78,6.07,40235,21.95
516,Bronx,Cooperative,C6-WALK-UP,11,12.45,6.85,52724,32.71
517,Bronx,Cooperative,C6-WALK-UP,46,7.87,4.88,138261,17.66
518,Bronx,Cooperative,C6-WALK-UP,15,10.32,6.91,43140,21.26
519,Bronx,Cooperative,C6-WALK-UP,25,9.78,6.07,63887,21.95
520,Bronx,Cooperative,C6-WALK-UP,12,13.53,7.84,39534,31.52
521,Bronx,Cooperative,C6-WALK-UP,12,13.53,7.84,43017,37.7
522,Bronx,Cooperative,C6-WALK-UP,11,9.54,6.2,35655,19.86
523,Bronx,Cooperative,C6-WALK-UP,37,9.9,6.14,124287,22.24
524,Bronx,Cooperative,C6-WALK-UP,12,8.73,5.67,35190,18.26
525,Bronx,Cooperative,D4-ELEVATOR,937,15.03,8.87,5399240,38.51
526,Bronx,Cooperative,D4-ELEVATOR,936,15.03,8.87,5313000,42.39
527,Bronx,Cooperative,D4-ELEVATOR,67,9.9,6.04,308835,20.35
528,Bronx,Cooperative,C6-WALK-UP,70,8.53,5.54,170669,17.89
529,Bronx,Cooperative,C6-WALK-UP,31,13.58,7.88,113808,37.73
530,Bronx,Cooperative,D4-ELEVATOR,260,10.26,6.05,1061362,26.22
531,Bronx,Cooperative,D4-ELEVATOR,120,9.26,6.29,341965,17.67
532,Bronx,Cooperative,D4-ELEVATOR,108,9.74,6.33,496933,20.2
533,Bronx,Cooperative,D4-ELEVATOR,42,9.71,6.31,154642,19.33
534,Bronx,Cooperative,D4-ELEVATOR,466,11.42,6.51,2103247,31.54
535,Bronx,Cooperative,D4-ELEVATOR,74,7.26,5.06,238087,13.1
536,Bronx,Cooperative,D4-ELEVATOR,131,6.93,4.92,365217,11.96
537,Bronx,Cooperative,D4-ELEVATOR,62,11.28,5.98,397500,20.24
538,Bronx,Cooperative,D4-ELEVATOR,81,6.93,4.92,185758,11.96
539,Bronx,Cooperative,D4-ELEVATOR,109,7.66,5.28,280644,14.04
540,Bronx,Cooperative,D4-ELEVATOR,83,5.71,3.9,216899,10.79
541,Bronx,Cooperative,D4-ELEVATOR,150,8.17,5.48,406228,15.88
542,Bronx,Cooperative,D4-ELEVATOR,54,8.43,5.24,136086,19.08
543,Bronx,Cooperative,D4-ELEVATOR,54,8.43,5.24,141330,19.1
544,Bronx,Cooperative,D4-ELEVATOR,52,11.28,5.98,242666,24.02
545,Bronx,Cooperative,D4-ELEVATOR,59,8.53,5.55,168488,17.87
546,Bronx,Cooperative,C6-WALK-UP,44,10.01,6.21,193800,23.73
547,Bronx,Cooperative,D4-ELEVATOR,86,12.0,7.32,537924,29.81
548,Bronx,Cooperative,D4-ELEVATOR,50,12.0,7.32,253562,29.81
549,Bronx,Cooperative,C6-WALK-UP,22,11.17,6.37,114249,29.49
550,Bronx,Cooperative,C6-WALK-UP,22,10.08,5.95,82836,25.78
551,Bronx,Cooperative,D4-ELEVATOR,116,12.0,7.32,497886,29.81
552,Bronx,Cooperative,D4-ELEVATOR,61,11.36,7.06,246089,27.66
553,Bronx,Cooperative,C6-WALK-UP,16,13.19,7.92,70750,25.55
554,Bronx,Cooperative,C6-WALK-UP,36,13.19,7.92,162316,34.71
555,Bronx,Cooperative,D4-ELEVATOR,25,11.72,7.5,114016,26.98
556,Bronx,Cooperative,C6-WALK-UP,26,12.3,5.71,126857,22.75
557,Bronx,Cooperative,D4-ELEVATOR,140,11.08,7.25,697894,23.6
558,Bronx,Cooperative,C6-WALK-UP,21,10.08,5.95,77437,25.76
559,Bronx,Cooperative,C6-WALK-UP,38,14.27,7.85,166792,18.09
560,Bronx,Cooperative,C6-WALK-UP,29,10.68,6.62,108573,23.11
561,Bronx,Cooperative,C6-WALK-UP,25,6.99,4.82,53635,12.89
562,Bronx,Cooperative,C6-WALK-UP,25,11.0,6.48,111870,27.92
563,Bronx,Cooperative,C6-WALK-UP,25,8.12,3.51,114928,27.16
564,Bronx,Cooperative,C6-WALK-UP,25,9.25,5.46,80708,22.54
565,Bronx,Cooperative,C6-WALK-UP,25,9.25,5.46,80708,22.54
566,Bronx,Cooperative,D4-ELEVATOR,320,11.67,7.83,1121280,24.59
567,Bronx,Cooperative,C6-WALK-UP,13,8.78,5.93,41370,17.02
568,Bronx,Cooperative,C6-WALK-UP,20,10.53,6.79,80410,23.21
569,Bronx,Cooperative,C6-WALK-UP,35,10.63,5.63,168818,29.15
570,Bronx,Cooperative,C6-WALK-UP,42,14.32,5.67,224260,39.27
571,Bronx,Cooperative,C6-WALK-UP,79,10.68,6.62,251225,19.55
572,Bronx,Cooperative,C6-WALK-UP,21,8.56,4.0,77292,27.26
573,Bronx,Cooperative,C6-WALK-UP,38,11.79,7.17,137063,29.56
574,Bronx,Cooperative,C6-WALK-UP,20,12.36,6.28,103138,33.39
575,Bronx,Cooperative,C6-WALK-UP,31,9.89,4.96,102667,29.15
576,Bronx,Cooperative,C6-WALK-UP,18,10.85,6.18,65378,28.93
577,Bronx,Cooperative,D4-ELEVATOR,42,11.25,7.03,177240,27.17
578,Bronx,Cooperative,C6-WALK-UP,13,14.74,7.71,70687,39.58
579,Bronx,Cooperative,C6-WALK-UP,57,15.9,9.71,253847,42.28
580,Bronx,Cooperative,C6-WALK-UP,49,14.95,10.14,150721,29.81
581,Bronx,Cooperative,C6-WALK-UP,16,12.55,7.12,99330,29.62
582,Bronx,Cooperative,C6-WALK-UP,23,12.95,8.41,93359,30.32
583,Bronx,Cooperative,C6-WALK-UP,18,13.49,7.01,66232,38.36
584,Bronx,Cooperative,C6-WALK-UP,31,9.81,5.72,142615,24.2
585,Bronx,Cooperative,C6-WALK-UP,31,9.81,5.95,134694,22.88
586,Bronx,Cooperative,C6-WALK-UP,26,8.56,4.0,99942,19.76
587,Bronx,Cooperative,C6-WALK-UP,58,9.67,5.41,178384,20.92
588,Bronx,Cooperative,C6-WALK-UP,24,9.96,6.71,68331,20.31
589,Bronx,Cooperative,C6-WALK-UP,20,9.96,6.71,57037,20.28
590,Bronx,Cooperative,C6-WALK-UP,20,9.96,6.71,57037,20.28
591,Bronx,Cooperative,C6-WALK-UP,15,9.96,6.71,47369,20.31
592,Bronx,Cooperative,C6-WALK-UP,68,10.68,6.62,228984,20.28
593,Bronx,Cooperative,C6-WALK-UP,27,12.94,7.89,85749,33.65
594,Bronx,Cooperative,D4-ELEVATOR,43,17.48,8.02,312180,68.27
595,Bronx,Cooperative,D4-ELEVATOR,26,15.71,9.35,204474,43.51
596,Bronx,Cooperative,D4-ELEVATOR,25,12.18,5.15,148192,44.69
597,Bronx,Cooperative,C6-WALK-UP,26,14.56,8.9,127350,37.51
598,Bronx,Cooperative,D4-ELEVATOR,44,11.18,6.48,211500,30.29
599,Bronx,Cooperative,D4-ELEVATOR,42,13.05,6.01,321728,46.87
600,Bronx,Cooperative,D4-ELEVATOR,60,11.68,5.58,427000,39.03
601,Bronx,Cooperative,D4-ELEVATOR,68,10.61,5.66,369244,30.78
602,Bronx,Cooperative,C6-WALK-UP,37,11.11,6.87,125504,26.18
603,Bronx,Cooperative,C6-WALK-UP,37,11.11,6.87,119144,26.16
604,Bronx,Cooperative,C6-WALK-UP,21,12.69,7.21,136452,36.67
605,Bronx,Cooperative,C6-WALK-UP,57,11.23,6.33,217756,31.57
606,Bronx,Cooperative,C6-WALK-UP,57,6.93,4.92,79888,11.95
607,Bronx,Cooperative,D4-ELEVATOR,35,10.36,6.51,160074,23.98
608,Bronx,Cooperative,D4-ELEVATOR,48,10.39,6.46,191988,24.44
609,Bronx,Cooperative,D4-ELEVATOR,16,10.97,6.66,73756,26.67
610,Bronx,Cooperative,C6-WALK-UP,20,13.08,8.03,75792,33.67
611,Bronx,Cooperative,C6-WALK-UP,32,12.43,7.15,139109,33.4
612,Bronx,Cooperative,C6-WALK-UP,11,11.65,7.28,61911,28.08
613,Bronx,Cooperative,C6-WALK-UP,43,10.93,6.04,146637,30.23
614,Bronx,Cooperative,D4-ELEVATOR,54,13.5,7.43,303750,40.26
615,Bronx,Cooperative,C6-WALK-UP,21,10.98,6.74,74250,26.2
616,Bronx,Cooperative,D4-ELEVATOR,17,9.77,6.04,103287,22.1
617,Bronx,Cooperative,C6-WALK-UP,16,16.43,8.45,126430,57.83
618,Bronx,Cooperative,C6-WALK-UP,16,16.43,8.45,126430,57.83
619,Bronx,Cooperative,C6-WALK-UP,43,11.95,6.95,140956,27.34
620,Bronx,Cooperative,D4-ELEVATOR,12,11.04,6.46,60538,28.33
621,Bronx,Cooperative,C6-WALK-UP,15,10.93,6.87,43751,24.78
622,Bronx,Cooperative,C6-WALK-UP,16,10.47,6.62,57173,23.91
623,Bronx,Cooperative,C6-WALK-UP,21,11.06,6.78,72760,26.41
624,Bronx,Cooperative,C6-WALK-UP,16,10.47,6.62,46970,23.93
625,Bronx,Cooperative,D4-ELEVATOR,281,12.75,7.76,1357280,33.36
626,Bronx,Cooperative,D4-ELEVATOR,22,7.15,4.42,57298,16.19
627,Bronx,Cooperative,C6-WALK-UP,37,12.85,6.51,215527,42.34
628,Bronx,Cooperative,C6-WALK-UP,25,9.77,6.04,89893,22.07
629,Bronx,Cooperative,C6-WALK-UP,35,10.01,6.36,109500,22.8
630,Bronx,Cooperative,D4-ELEVATOR,30,13.24,7.52,144006,38.01
631,Bronx,Cooperative,C6-WALK-UP,15,11.19,6.69,47520,28.98
632,Bronx,Cooperative,C6-WALK-UP,27,10.47,6.62,113960,23.92
633,Bronx,Cooperative,C6-WALK-UP,20,10.35,6.46,68464,24.2
634,Bronx,Cooperative,C6-WALK-UP,17,12.41,6.45,69017,37.74
635,Bronx,Cooperative,C6-WALK-UP,24,9.94,6.1,90432,23.99
636,Bronx,Cooperative,C6-WALK-UP,20,10.01,6.36,67343,22.76
637,Bronx,Cooperative,C6-WALK-UP,26,10.01,6.36,71259,22.79
638,Bronx,Cooperative,C6-WALK-UP,29,10.48,6.37,113005,25.53
639,Bronx,Cooperative,C6-WALK-UP,44,10.01,6.36,130360,22.79
640,Bronx,Cooperative,C6-WALK-UP,26,10.01,6.36,77198,22.79
641,Bronx,Cooperative,C6-WALK-UP,107,9.77,6.04,337938,22.09
642,Bronx,Cooperative,C6-WALK-UP,18,14.27,7.83,114760,40.97
643,Bronx,Cooperative,C6-WALK-UP,50,6.98,4.87,89474,12.53
644,Bronx,Cooperative,C6-WALK-UP,24,13.64,5.9,183902,51.18
645,Bronx,Cooperative,D4-ELEVATOR,225,12.71,7.14,1193896,37.25
646,Bronx,Cooperative,D4-ELEVATOR,90,12.09,6.63,496314,34.73
647,Bronx,Cooperative,C6-WALK-UP,26,11.38,6.26,100961,32.92
648,Bronx,Cooperative,C6-WALK-UP,16,13.01,7.03,59991,39.87
649,Bronx,Cooperative,D4-ELEVATOR,36,13.59,7.6,223727,39.63
650,Bronx,Cooperative,C6-WALK-UP,30,11.23,6.33,108789,31.57
651,Bronx,Cooperative,C6-WALK-UP,24,11.65,6.79,101842,31.11
652,Bronx,Cooperative,C6-WALK-UP,30,12.22,7.18,117180,32.0
653,Bronx,Cooperative,D4-ELEVATOR,33,10.77,5.76,154739,27.81
654,Bronx,Cooperative,D4-ELEVATOR,74,10.42,6.86,267035,22.14
655,Bronx,Cooperative,D4-ELEVATOR,54,11.96,6.58,298378,34.29
656,Bronx,Cooperative,D4-ELEVATOR,54,7.95,5.4,137106,15.01
657,Bronx,Cooperative,C6-WALK-UP,21,11.29,6.83,83447,28.7
658,Bronx,Cooperative,C6-WALK-UP,52,12.22,7.18,201600,32.0
659,Bronx,Cooperative,C6-WALK-UP,51,12.22,7.18,201600,32.0
660,Bronx,Cooperative,D4-ELEVATOR,42,10.67,6.53,153180,25.68
661,Bronx,Cooperative,D4-ELEVATOR,42,12.86,7.09,233269,38.51
662,Bronx,Cooperative,C6-WALK-UP,27,9.68,5.24,99918,26.31
663,Bronx,Cooperative,D4-ELEVATOR,42,11.77,6.16,241319,31.21
664,Bronx,Cooperative,D4-ELEVATOR,42,10.88,6.36,209909,27.97
665,Bronx,Cooperative,C6-WALK-UP,20,7.2,5.04,46991,12.83
666,Bronx,Cooperative,C6-WALK-UP,36,11.39,6.89,184982,28.92
667,Bronx,Cooperative,D4-ELEVATOR,1153,10.93,6.01,6054501,29.94
668,Bronx,Cooperative,D4-ELEVATOR,185,10.93,5.3,1126000,30.64
669,Bronx,Cooperative,D4-ELEVATOR,62,10.93,5.3,403333,26.1
670,Bronx,Cooperative,D4-ELEVATOR,122,10.56,6.13,624874,27.51
671,Bronx,Cooperative,D4-ELEVATOR,73,9.68,5.8,322040,22.99
672,Bronx,Cooperative,D4-ELEVATOR,352,13.24,7.16,2317775,30.52
673,Bronx,Cooperative,D4-ELEVATOR,318,9.39,6.18,1362497,19.04
674,Bronx,Cooperative,D4-ELEVATOR,140,8.93,4.73,780661,23.15
675,Bronx,Cooperative,D4-ELEVATOR,282,9.7,5.33,1535725,25.88
676,Bronx,Cooperative,D4-ELEVATOR,73,10.71,6.11,346794,28.52
677,Bronx,Cooperative,D4-ELEVATOR,85,9.74,5.84,418158,23.1
678,Bronx,Cooperative,D4-ELEVATOR,135,10.72,6.11,539577,28.57
679,Bronx,Cooperative,D4-ELEVATOR,100,11.22,6.51,461580,30.35
680,Bronx,Cooperative,D4-ELEVATOR,188,11.86,6.52,1321810,34.09
681,Bronx,Cooperative,D4-ELEVATOR,72,10.51,6.1,339570,27.39
682,Bronx,Cooperative,D4-ELEVATOR,73,11.2,6.86,342270,27.97
683,Bronx,Cooperative,C6-WALK-UP,15,13.13,6.33,91630,36.51
684,Bronx,Cooperative,C6-WALK-UP,16,13.13,6.33,122400,36.5
685,Bronx,Cooperative,D4-ELEVATOR,47,11.02,5.55,235074,33.79
686,Bronx,Cooperative,D4-ELEVATOR,74,11.02,5.55,236277,33.8
687,Bronx,Cooperative,D4-ELEVATOR,73,9.78,4.68,490875,30.19
688,Bronx,Cooperative,D4-ELEVATOR,56,9.45,4.85,223689,27.31
689,Bronx,Cooperative,D4-ELEVATOR,72,10.44,6.64,346085,23.62
690,Bronx,Cooperative,C6-WALK-UP,26,12.22,7.18,120960,32.0
691,Bronx,Cooperative,D4-ELEVATOR,74,9.41,5.35,358904,24.12
692,Bronx,Cooperative,D4-ELEVATOR,67,10.6,5.18,388354,30.55
693,Bronx,Cooperative,D4-ELEVATOR,37,9.09,5.44,144358,21.72
694,Bronx,Cooperative,D4-ELEVATOR,73,9.41,5.35,331823,24.12
695,Bronx,Cooperative,C6-WALK-UP,20,11.41,6.62,88615,30.81
696,Bronx,Cooperative,D4-ELEVATOR,58,11.96,5.82,313509,36.84
697,Bronx,Cooperative,D4-ELEVATOR,60,10.4,5.17,340316,32.53
698,Bronx,Cooperative,D4-ELEVATOR,57,11.83,5.16,372186,42.6
699,Bronx,Cooperative,D4-ELEVATOR,120,10.49,5.78,607119,29.26
700,Bronx,Cooperative,D4-ELEVATOR,78,10.56,4.34,578460,36.78
701,Bronx,Cooperative,D4-ELEVATOR,58,9.58,5.04,289484,26.94
702,Bronx,Cooperative,D4-ELEVATOR,64,10.06,4.47,451734,34.88
703,Bronx,Cooperative,D4-ELEVATOR,73,10.08,4.9,403263,25.57
704,Bronx,Cooperative,D4-ELEVATOR,60,12.22,7.18,175492,25.65
705,Bronx,Cooperative,C6-WALK-UP,65,10.7,6.1,257600,28.52
706,Bronx,Cooperative,D4-ELEVATOR,42,12.3,6.52,236980,36.63
707,Bronx,Cooperative,D4-ELEVATOR,104,9.99,6.1,575720,23.56
708,Bronx,Cooperative,D4-ELEVATOR,64,11.38,6.6,256686,30.73
709,Bronx,Cooperative,D4-ELEVATOR,120,11.11,6.11,800000,30.86
710,Bronx,Cooperative,D4-ELEVATOR,63,11.62,6.62,295000,32.03
711,Bronx,Cooperative,C6-WALK-UP,17,11.07,5.4,94122,25.6
712,Bronx,Cooperative,D4-ELEVATOR,45,8.3,4.65,145838,21.47
713,Bronx,Cooperative,D4-ELEVATOR,110,8.98,5.84,476652,18.72
714,Bronx,Cooperative,D4-ELEVATOR,49,11.37,6.27,243163,31.38
715,Bronx,Cooperative,D4-ELEVATOR,127,13.38,7.09,686905,41.72
